id,body,prompt,official_id,image,difficulty,test_id,category_id,created_at,updated_at,style_id
11,"\[b = 2.35 + 0.25x \] \[c = 1.75 + 0.40x \] In the equations above, \(b\) and \(c\) represent the price per pound, in dollars, or beef and chicken, respectively, \(x\) weeks after July 1 during last summer. What was the price per pound of beef when it was equal to the price per pound of chicken?",What was the price per pound of beef when it was equal to the price per pound of chicken?,S.R.2015.01.00.3.11,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:30:10 UTC,2
12,A line in the \(xy\)-plane passes through the origin and has a slope of \( \displaystyle {1 \over 7} \). Which of the following points lies on the line?,Which of the following points lies on the line?,S.R.2015.01.00.3.12,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:30:44 UTC,2
13,"If \(x>3\), which of the following is equivalent to \( \displaystyle { 1 \over \displaystyle { \displaystyle 1 \over {\displaystyle x + 2} } + { \displaystyle 1 \over {\displaystyle x + 3} } } \)?",which of the following is equivalent to \( \displaystyle { 1 \over \displaystyle { \displaystyle 1 \over {\displaystyle x + 2} } + { \displaystyle 1 \over {\displaystyle x + 3} } } \)?,S.R.2015.01.00.3.13,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:31:24 UTC,2
14,"If \(3x -y = 12\), what is the value of \( \displaystyle { 8^x \over 2^y}\)?",what is the value of \( \displaystyle { 8^x \over 2^y}\)?,S.R.2015.01.00.3.14,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:33:06 UTC,2
15,"If \((ax + 2)(bx+7) = 15x^2 + cx + 14\) for all values of \(x\), and \(a + b=8\), what are the two possible values for \(c\) ?",what are the two possible values for \(c\) ?,S.R.2015.01.00.3.15,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:33:50 UTC,2
16,"If \(t>0\) and \(t^2-4=0\), what is the value of \(t\) ?",what is the value of \(t\) ?,S.R.2015.01.00.3.16,"",1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:34:26 UTC,1
17,"A summer camp counselor wants to find a length, \(x\), in feet, across a lake as represented by \(AB\), \(EB\), \(BD\), and \(CD\) on the sketch were determined to be \(1800\) feet, \(1400\) feet, \(700\) feet, and \(800\) feet, respectively. Segments \(AC\) and \(DE\) intersect at \(B\), and \(\angle AEB\) and \(\angle CDB\) have the same measure. What is the value of \(x\) ?",What is the value of \(x\) ?,S.R.2015.01.00.3.17,questions/S.R.2015.01.00.3.17.png,1,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:34:37 UTC,1
18,"\[x+y= \unicode{x2013}9 \] \[x + 2y = \unicode{x2013}25 \] According to the system of equations above, what is the value of \(x\) ?",what is the value of \(x\) ?,S.R.2015.01.00.3.18,"",3,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:34:45 UTC,1
19,"In a right triangle, one angle measures \(x^\text{o}\), where  \(\text{sin } x^\text{o} = \displaystyle { 4 \over 5}\). What is \(\text{cos}(90^\text{o} - x)\) ?",What is \(\text{cos}(90^\text{o} - x)\) ?,S.R.2015.01.00.3.19,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:35:28 UTC,1
20,"If \(a = 5\sqrt{2}\) and \(2a = \sqrt{2x}\), what is the value of \(x\) ?",what is the value of \(x\) ?,S.R.2015.01.00.3.20,"",5,1,1,2021-02-03 22:57:57 UTC,2021-02-11 01:35:45 UTC,1
